region,age_group,gender,population,smokers,quitters,never_smokers
Midland,40-44,Male,12451.0,0.2368484459079592,0.24046261344470324,0.43562766042888124
Midland,45-49,Female,11574.0,0.16329704510108864,0.26213927769137724,0.5129600829445309
Midland,45-49,Male,11609.0,0.2191403221638384,0.2734085623223361,0.4373331036264967
Midland,50-54,Female,10514.0,0.1723416397184706,0.2732547080083698,0.49448354574852577
Midland,50-54,Male,10833.0,0.21609895689098127,0.30148619957537154,0.4154897073756116
Midland,55-59,Female,9510.0,0.1647739221871714,0.26635120925341743,0.5138801261829653
Midland,55-59,Male,9588.0,0.19107217355027117,0.3213391739674593,0.4278264497288277
Midland,60-64,Female,8393.0,0.16108661980221614,0.30120338377219114,0.4839747408554748
Midland,60-64,Male,8577.0,0.16987291593797366,0.3582837822082313,0.41401422408767635
Midland,65-69,Female,7355.0,0.13351461590754587,0.318830727396329,0.4885112168592794
Midland,65-69,Male,7440.0,0.14260752688172043,0.3959677419354839,0.40228494623655914
Midland,70-74,Female,6061.0,0.10790298630589011,0.2987955782874113,0.5268107573007754
Midland,70-74,Male,6170.0,0.11426256077795786,0.42301458670988656,0.4022690437601297
Midland,75-79,Female,4830.0,0.08881987577639752,0.27784679089026915,0.5650103519668737
Midland,75-79,Male,4428.0,0.08717253839205058,0.4532520325203252,0.4035682023486902
South-East,0-14,Female,43939.0,0.0,0.005575912059901227,0.9074626186303739
South-East,0-14,Male,46094.0,0.00017355838070030806,0.004056927148869701,0.9082527010022996
South-East,15-19,Female,15028.0,0.04970721320202289,0.029345222251796647,0.8648522757519297
South-East,15-19,Male,15968.0,0.07320891783567134,0.03294088176352705,0.8374874749498998
South-East,20-24,Female,11886.0,0.18610129564193167,0.07529867070503113,0.6748275281844186
South-East,20-24,Male,12808.0,0.26061836352279827,0.08221424109931293,0.5847126795752654
South-East,25-29,Female,11460.0,0.21858638743455497,0.13446771378708552,0.5842059336823735
South-East,25-29,Male,11159.0,0.31355856259521464,0.12859575230755443,0.4815843713594408
South-East,30-34,Female,13614.0,0.20141031291317762,0.1933303951814309,0.5381225209343323
South-East,30-34,Male,12760.0,0.27876175548589344,0.1780564263322884,0.46324451410658307
South-East,35-39,Female,16759.0,0.18676532012649918,0.23843904767587565,0.5102333074765798
South-East,35-39,Male,14814.0,0.2619144052922911,0.22174969623329283,0.4445794518698528
South-East,40-44,Female,18231.0,0.1748669848060995,0.26954089188744446,0.4972299928692886
South-East,40-44,Male,17249.0,0.23978201634877383,0.25885558583106266,0.43457591744448953
South-East,45-49,Female,16986.0,0.16501825032379608,0.28011303426351114,0.5041210408571765
South-East,45-49,Male,16405.0,0.21584882657726304,0.29320329167936604,0.4337092349893325
South-East,50-54,Female,15670.0,0.17115507338864072,0.2935545628589662,0.48978940650925334
South-East,50-54,Male,15556.0,0.2085368989457444,0.31344818719465156,0.42568783749035743
South-East,55-59,Female,14984.0,0.16110517885744793,0.2953817405232248,0.5023358248798718
South-East,55-59,Male,14557.0,0.18719516383870302,0.3344782578828055,0.4294840969980078
South-East,60-64,Female,13373.0,0.15463994616017349,0.3172810887609362,0.48366110820309577
South-East,60-64,Male,12997.0,0.16726936985458182,0.3660844810340848,0.41578825882896053
South-East,65-69,Female,11394.0,0.12717219589257503,0.3232403019132877,0.4998244690187818
South-East,65-69,Male,11519.0,0.13325809532077437,0.4179182220678878,0.4059380154527303
South-East,70-74,Female,9763.0,0.10263238758578305,0.30216122093618764,0.5396906688517874
South-East,70-74,Male,9737.0,0.10824689329362226,0.4354523980692205,0.4034096744377118
South-East,75-79,Female,7730.0,0.0777490297542044,0.2926261319534282,0.5684346701164295
South-East,75-79,Male,7325.0,0.08395904436860069,0.4536518771331058,0.4091467576791809
South-West,0-14,Female,69899.0,0.0,0.006409247628721441,0.9136468332880299
South-West,0-14,Male,72385.0,0.0,0.0076258893417144435,0.9099122746425364
South-West,15-19,Female,23449.0,0.05326453153652608,0.027165337541046528,0.8672864514478229
South-West,15-19,Male,24583.0,0.07163486962535086,0.03046820973843713,0.8405402107147215
South-West,20-24,Female,21295.0,0.18187367926743367,0.06724583235501291,0.6952805822963137
South-West,20-24,Male,21702.0,0.25066814118514424,0.07478573403372961,0.6058427794673302
South-West,25-29,Female,19894.0,0.20528802654066552,0.1190811299889414,0.6146576857343923
South-West,25-29,Male,19963.0,0.2948955567800431,0.11952111406101287,0.5148524770826028
South-West,30-34,Female,23277.0,0.17760020621214073,0.17914679726768915,0.5769214245822056
South-West,30-34,Male,21592.0,0.2700074101519081,0.1663115968877362,0.48721748795850317
South-West,35-39,Female,27967.0,0.16955697786677154,0.23724389459005257,0.5288018021239318
South-West,35-39,Male,25277.0,0.2435415595205127,0.22447284092257783,0.45721406812517307
South-West,40-44,Female,30051.0,0.1535722604904995,0.27177132208578747,0.516921233902366
South-West,40-44,Male,28436.0,0.21219580813053876,0.25742017161344777,0.4576944717963145
South-West,45-49,Female,27148.0,0.14420951819655223,0.2755635774274348,0.5318992190953293
South-West,45-49,Male,26962.0,0.19750018544618353,0.2926711668273867,0.4493731918997107
South-West,50-54,Female,24781.0,0.15451353859811953,0.2887696218877366,0.5094628949598483
South-West,50-54,Male,25011.0,0.1876374395266083,0.32369757306785013,0.4343288952860741
South-West,55-59,Female,23120.0,0.1459342560553633,0.28213667820069205,0.5275086505190312
South-West,55-59,Male,23148.0,0.16951788491446346,0.33359253499222397,0.44612925522723346
South-West,60-64,Female,20870.0,0.14048873981792045,0.30177287973167227,0.5110685194058457
South-West,60-64,Male,20637.0,0.1443039201434317,0.36046906042544946,0.4437660512671415
South-West,65-69,Female,18218.0,0.12103414205730596,0.3101877264244154,0.521297617740696
South-West,65-69,Male,18031.0,0.13016471632189008,0.38633464588763794,0.43691420331651043
South-West,70-74,Female,15714.0,0.09068346697212677,0.2938780705103729,0.5640829833269696
South-West,70-74,Male,15490.0,0.09651387992253066,0.4253712072304713,0.4253712072304713
South-West,75-79,Female,12426.0,0.06937067439240302,0.28593272171253825,0.5858683405762112
South-West,75-79,Male,11478.0,0.07640703955392926,0.4513852587558808,0.41775570656908867
West,0-14,Female,45719.0,0.0,0.006736805266956845,0.9047660709989283
West,0-14,Male,48248.0,0.00018653622948101476,0.006881114243077433,0.9032084231470735
West,15-19,Female,15779.0,0.05640408137397807,0.023322137017554978,0.8638063248621586
West,15-19,Male,16254.0,0.07161314138058324,0.031684508428694476,0.8378860588162914
West,20-24,Female,14071.0,0.18648283704072205,0.061829294293227206,0.6791983512188189
West,20-24,Male,14026.0,0.265150434906602,0.0765720804220733,0.583202623698845
West,25-29,Female,12038.0,0.19970094700116298,0.11729523176607409,0.6123110151187905
West,25-29,Male,12121.0,0.30665786651266397,0.11970959491791107,0.496741192970877
West,30-34,Female,14446.0,0.18115741381697356,0.17458119894780563,0.5681157413816974
West,30-34,Male,13389.0,0.2694002539398013,0.16931809694525357,0.4750914930166555
West,35-39,Female,17675.0,0.16124469589816123,0.23287128712871288,0.5403677510608204
West,35-39,Male,16121.0,0.2398114260901929,0.21518516221078096,0.4715588363004776
West,40-44,Female,19197.0,0.145231025681096,0.2747825181017867,0.5195603479710371
West,40-44,Male,18159.0,0.20716999834792665,0.263120215870918,0.45756924940800703
West,45-49,Female,17684.0,0.13859986428409862,0.28183668853200633,0.5282741461207872
West,45-49,Male,17115.0,0.20040899795501022,0.29085597429155713,0.44633362547472977
West,50-54,Female,16213.0,0.14426694627767842,0.2845864429778573,0.5195830506383766
West,50-54,Male,16121.0,0.1849140872154333,0.3238632839153899,0.43458842503566775
West,55-59,Female,15193.0,0.13433818205752648,0.2803264661357204,0.5382742052260909
West,55-59,Male,15020.0,0.162982689747004,0.3298934753661784,0.4570572569906791
West,60-64,Female,14187.0,0.13998731232818779,0.30725311905265384,0.5047578769295834
West,60-64,Male,13837.0,0.1511888415118884,0.3617836236178362,0.43593264435932644
West,65-69,Female,12820.0,0.112402496099844,0.3257410296411856,0.5113104524180967
West,65-69,Male,12757.0,0.11789605706670847,0.41208748138277024,0.4226699067178804
West,70-74,Female,10887.0,0.09855791310737577,0.3201065490952512,0.5281528428400845
West,70-74,Male,10837.0,0.1000276829380825,0.4336070868321491,0.41358309495247764
West,75-79,Female,8134.0,0.07671502335874109,0.32407179739365627,0.5422916154413573
West,75-79,Male,7972.0,0.08316608128449574,0.4651279478173608,0.40203211239337683
