Statistic Label,Census Year,Sex,Smoking Tobacco Products,Age Group,County,UNIT,VALUE
Population,2022,Both Sexes,Smoke daily,60-64 years,Wexford,Number,1282.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Wexford,Number,918.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Wexford,Number,616.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Wexford,Number,349.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Wexford,Number,190.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Wexford,Number,87.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Wexford,Number,8.0
Population,2022,Both Sexes,Smoke daily,All Ages,Wicklow,Number,13424.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Wicklow,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Wicklow,Number,265.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Wicklow,Number,916.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Wicklow,Number,990.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Wicklow,Number,1205.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Wicklow,Number,1532.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Wicklow,Number,1580.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Wicklow,Number,1442.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Wicklow,Number,1399.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Wicklow,Number,1275.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Wicklow,Number,1025.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Wicklow,Number,741.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Wicklow,Number,528.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Wicklow,Number,301.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Wicklow,Number,148.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Wicklow,Number,59.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Wicklow,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,Clare,Number,10649.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Clare,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Clare,Number,191.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Clare,Number,656.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Clare,Number,865.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Clare,Number,928.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Clare,Number,1123.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Clare,Number,1150.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Clare,Number,1216.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Clare,Number,1208.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Clare,Number,1001.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Clare,Number,842.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Clare,Number,597.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Clare,Number,441.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Clare,Number,244.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Clare,Number,110.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Clare,Number,
Population,2022,Both Sexes,Smoke daily,95 years and over,Clare,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,Cork City,Number,21001.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Cork City,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Cork City,Number,432.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Cork City,Number,1885.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Cork City,Number,2261.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Cork City,Number,2207.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Cork City,Number,2289.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Cork City,Number,2240.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Cork City,Number,1893.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Cork City,Number,1970.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Cork City,Number,1764.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Cork City,Number,1509.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Cork City,Number,1074.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Cork City,Number,747.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Cork City,Number,389.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Cork City,Number,197.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Cork City,Number,107.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Cork City,Number,
Population,2022,Both Sexes,Smoke daily,All Ages,Cork County,Number,28614.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Cork County,Number,55.0
Population,2022,Both Sexes,Smoke daily,15-19 years,Cork County,Number,619.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Cork County,Number,1809.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Cork County,Number,2178.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Cork County,Number,2698.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Cork County,Number,3328.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Cork County,Number,3495.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Cork County,Number,3250.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Cork County,Number,3024.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Cork County,Number,2589.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Cork County,Number,1980.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Cork County,Number,1611.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Cork County,Number,941.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Cork County,Number,591.0
Population,2022,Both Sexes,Smoke daily,80-84 years,Cork County,Number,301.0
Population,2022,Both Sexes,Smoke daily,85-89 years,Cork County,Number,139.0
Population,2022,Both Sexes,Smoke daily,95 years and over,Cork County,Number,6.0
Population,2022,Both Sexes,Smoke daily,All Ages,Kerry,Number,13497.0
Population,2022,Both Sexes,Smoke daily,0 - 14 years,Kerry,Number,
Population,2022,Both Sexes,Smoke daily,15-19 years,Kerry,Number,214.0
Population,2022,Both Sexes,Smoke daily,20-24 years,Kerry,Number,818.0
Population,2022,Both Sexes,Smoke daily,25-29 years,Kerry,Number,1110.0
Population,2022,Both Sexes,Smoke daily,30-34 years,Kerry,Number,1256.0
Population,2022,Both Sexes,Smoke daily,35-39 years,Kerry,Number,1432.0
Population,2022,Both Sexes,Smoke daily,40-44 years,Kerry,Number,1517.0
Population,2022,Both Sexes,Smoke daily,45-49 years,Kerry,Number,1426.0
Population,2022,Both Sexes,Smoke daily,50-54 years,Kerry,Number,1418.0
Population,2022,Both Sexes,Smoke daily,55-59 years,Kerry,Number,1261.0
Population,2022,Both Sexes,Smoke daily,60-64 years,Kerry,Number,1044.0
Population,2022,Both Sexes,Smoke daily,65-69 years,Kerry,Number,842.0
Population,2022,Both Sexes,Smoke daily,70-74 years,Kerry,Number,556.0
Population,2022,Both Sexes,Smoke daily,75-79 years,Kerry,Number,345.0
