smoking_status,sex,attained_age_group,broad_age_group,history_variable,n_unweighted,weighted_n,mean,sd,p05,p25,p50,p75,p95,minimum,maximum,weighting_status,fallback_level
former,male,all,60-69,age_at_stopping,30,30.000000,44.666667,12.203259,25.600000,40.000000,45.000000,54.250000,63.200000,20.000000,65.000000,unweighted_equal_weights,sex_broad_status
former,male,all,60-69,years_since_quitting,30,30.000000,21.200000,12.682869,2.450000,10.250000,22.000000,28.000000,40.750000,1.000000,49.000000,unweighted_equal_weights,sex_broad_status
former,male,all,60-69,cigarettes_per_day,30,30.000000,25.366667,17.683975,8.900000,15.000000,20.000000,30.000000,40.000000,3.000000,100.000000,unweighted_equal_weights,sex_broad_status
former,male,all,60-69,smoking_duration,30,30.000000,29.266667,13.125215,8.900000,21.250000,29.500000,37.500000,50.750000,7.000000,57.000000,unweighted_equal_weights,sex_broad_status
former,male,all,60-69,pack_years_standard,30,30.000000,39.216667,43.030247,5.812500,14.675000,30.750000,43.937500,77.625000,5.100000,240.000000,unweighted_equal_weights,sex_broad_status
former,male,all,70-80,age_at_initiation,24,24.000000,15.875000,4.590278,8.300000,13.000000,16.000000,18.000000,20.000000,8.000000,30.000000,unweighted_equal_weights,sex_broad_status
former,male,all,70-80,age_at_stopping,24,24.000000,43.625000,13.531967,25.450000,30.000000,42.500000,50.000000,64.400000,24.000000,75.000000,unweighted_equal_weights,sex_broad_status
former,male,all,70-80,years_since_quitting,24,24.000000,31.250000,13.365270,11.000000,21.750000,32.500000,41.500000,50.550000,3.000000,52.000000,unweighted_equal_weights,sex_broad_status
former,male,all,70-80,cigarettes_per_day,24,24.000000,22.541667,11.511730,5.750000,13.750000,20.000000,30.000000,40.000000,5.000000,40.000000,unweighted_equal_weights,sex_broad_status
former,male,all,70-80,smoking_duration,24,24.000000,27.750000,13.578275,11.300000,19.500000,26.000000,35.500000,49.400000,4.000000,62.000000,unweighted_equal_weights,sex_broad_status
former,male,all,70-80,pack_years_standard,24,24.000000,30.958333,20.958710,3.700000,15.850000,27.500000,44.500000,55.700000,3.000000,93.000000,unweighted_equal_weights,sex_broad_status
current_unspecified,female,all,all,age_at_initiation,35,35.000000,17.400000,5.811753,10.800000,14.000000,17.000000,19.500000,30.000000,2.000000,30.000000,unweighted_equal_weights,sex_status
current_unspecified,female,all,all,years_since_quitting,35,35.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,unweighted_equal_weights,sex_status
current_unspecified,female,all,all,cigarettes_per_day,35,35.000000,12.800000,5.582536,5.000000,10.000000,12.000000,19.000000,20.000000,2.000000,20.000000,unweighted_equal_weights,sex_status
current_unspecified,female,all,all,smoking_duration,35,35.000000,42.257143,7.815305,32.100000,37.500000,42.000000,47.500000,55.600000,21.000000,60.000000,unweighted_equal_weights,sex_status
current_unspecified,female,all,all,pack_years_standard,35,35.000000,26.568571,12.185648,9.950000,18.250000,24.500000,37.250000,44.300000,5.000000,57.000000,unweighted_equal_weights,sex_status
current_unspecified,male,all,all,age_at_initiation,36,36.000000,18.500000,6.930265,12.000000,15.000000,17.000000,19.250000,31.250000,3.000000,36.000000,unweighted_equal_weights,sex_status
